Var1,M_1,M_2,M_3,M_4
A00051826,0.0334814492028432,0.0393412776868155,0.0313233405891532,0.0181970154029695
A00051886,0.03565719984395,0.0425917960765114,0.0336183709903261,0.019252742890702
A00051955,0.0465422114022639,0.0569872330591838,0.0425662509351549,0.0260453360199164
A00053375,0.0246069551525954,0.0314478362285755,0.0221794764722852,0.0138195632796866
A00053398,0.0637468161754511,0.0741534747796923,0.0606058621947909,0.0346202135783563
A00053440,0.031355755272494,0.0359677800872953,0.0295207976530506,0.0169161924900213
A00053460,0.0280988855018138,0.0362742609328424,0.0254673220675361,0.0157203920586255
A00053480,0.0410828007774142,0.0456156539684169,0.0391949847397538,0.0219785649333032
A00053597,0.0333201872051825,0.0412961098460552,0.0305601757992046,0.0184713872473689
A00053909,0.0304047160103079,0.0349264838997082,0.0288014773117801,0.0162948840326598
A00054215,0.019267386179287,0.0261225382478335,0.0173602933916378,0.0107948519891817
A00054239,0.0242091972169768,0.0331492053870026,0.0211399938514988,0.0140301362599682
A00054287,0.0291612486702817,0.0369233913983566,0.0265914551072184,0.0162244245045658
A00054359,0.0350431089998594,0.0408341445719263,0.0330908465628061,0.0188851249871282
A00054369,0.0174889135587912,0.0237856427436321,0.0154519844223539,0.00998489239251905
A00054387,0.085497545876908,0.0886552421271894,0.0836110976069045,0.0456481188470575
A00054400,0.0248587693493801,0.0288802520098758,0.0232796974789862,0.0134383173155071
A00054417,0.0250196341118164,0.0323053374692166,0.0228082875879211,0.0138948750192534
A00054432,0.0428520485140516,0.0499027148636354,0.0395022423648936,0.0237481196884502
A00054469,0.0336242070399858,0.0503599237392307,0.0291598341671735,0.0197165893051421
A00054517,0.0266096460989153,0.0383211459125844,0.0233537626647699,0.0153625043898217
A00054535,0.0181330389731686,0.0231163237253009,0.016526190152224,0.0100380496633453
A00054597,0.0381805750432637,0.044472919710303,0.0351534965554178,0.0211339521183379
A00054623,0.0215662153817858,0.0305381948209618,0.018863970002026,0.012460800587674
A00054647,0.0231879083734366,0.0309628925771317,0.0209921075348178,0.0129564462681423
A00054659,0.0555707118065739,0.0630548474980308,0.053232814533398,0.0298289201665329
A00054666,0.0751173871332823,0.0850247650089215,0.0706275425579747,0.0414941069567225
A00054673,0.0356054578234162,0.0478051002173839,0.0312952151601364,0.0206208443033411
A00054694,0.0184449322498842,0.0249313675328721,0.0167691401702504,0.0102377621623742
A00054721,0.0438511215642718,0.0512559360951484,0.0413122333308816,0.023792199964048
A00054743,0.0533922229879772,0.0621913641177166,0.0500621571962063,0.0292473622725562
A00054753,0.0250964066238058,0.031250947301269,0.0226121547180269,0.0141030384032145
A00054766,0.0262981260842296,0.0336700527314371,0.0243481499119607,0.0143903501854682
A00054817,0.026311519087834,0.0348359207057623,0.0235330325672861,0.0149045737018906
A00054836,0.0203953173617207,0.0273419494600391,0.0178888780729743,0.0117460612464021
A00054852,0.0203145490887588,0.0278899782263875,0.0180208981689666,0.0115671979679035
A00054894,0.0516481714777508,0.053772681801268,0.0500762128072132,0.0273360862499455
A00054907,0.0556233514515342,0.0618383553915195,0.0536379462998742,0.0296598101180002
A00054917,0.0401233954447031,0.0445080119991672,0.0383182216497169,0.0214348295949303
A00054923,0.0505542595893737,0.0597671292876787,0.0471339557627757,0.0278076102004959
A00054930,0.0202021579248847,0.0273671868658521,0.0176426717337977,0.0116834358928198
A00055024,0.0492042371561104,0.0537911314786487,0.0471417123472373,0.0263216291978743
A00055038,0.0578137809010551,0.0634164197290041,0.0547343907669283,0.0314356701487951
A00055055,0.0249616511799051,0.0349880488702747,0.0216363740327956,0.0145803308852587
A00055065,0.103163957951862,0.12081919134793,0.0958342137073761,0.0585165535340038
A00055077,0.0332752599133686,0.0415524626394387,0.0314047231292584,0.0179222978306294
A00055085,0.0288389579129504,0.0363505190040743,0.0262838922467638,0.0160516772552054
A00055103,0.0420471862390353,0.0472523957359314,0.0403553600950969,0.0223724031791603
A00055296,0.0544178603343643,0.0572544250705442,0.0524587401757438,0.0290100105403763
A00055392,0.0406550053203292,0.0483843514975546,0.0379950739420434,0.0221991735700654
A00055424,0.025943048025501,0.0320577496897172,0.0239149455645963,0.0142556310122135
A00055429,0.0280045790710475,0.0343095749265783,0.02513965103377,0.0158188056874918
A00055436,0.0340813411015117,0.0398783306399164,0.0320954259908484,0.0184066713223596
A00055486,0.0253630042867591,0.0313682850773499,0.0234960425780708,0.0138641842159787
A00055540,0.0163647282999063,0.0228518747765581,0.0144737203569816,0.00932795623391533
A00055613,0.0305043778604447,0.0377562992305027,0.0282448987647641,0.016726173104567
A00055649,0.0225834309357343,0.0273066681782974,0.0209230345042537,0.0123255686752129
A00055662,0.0253149070513165,0.0323359092746409,0.0233432140492688,0.0139016588592539
A00055682,0.0443738651701292,0.0515159495589989,0.0416126454906545,0.0241922780209164
A00055731,0.0252661797295574,0.0294291802430413,0.0236590564106192,0.0136629326958601
A00055745,0.0457671527925906,0.0539955744523926,0.0428319748462459,0.0250203754301851
A00055754,0.0546921513777062,0.0614934496726753,0.0516219024443876,0.0297810408641191
A00055837,0.0417162378218018,0.0584566517174943,0.036821311797836,0.0241314451941096
A00055865,0.0347762530575374,0.0412287116427727,0.0326371228719725,0.0188536231224492
A00055893,0.0532141797607214,0.0649992916971614,0.048709097509888,0.0298548960721942
A00055910,0.0764546803264477,0.098584290893216,0.0699895459144994,0.0434054213792731
A00055947,0.0462614591066685,0.0529425087925064,0.0439012524133507,0.0249480042857661
A00055956,0.0277651383929864,0.0349185420804258,0.0253359988602668,0.0154274633504057
A00056002,0.0370541312173844,0.0435549380311243,0.0345846664232537,0.0202228639617575
A00056054,0.0486313380193035,0.0543388894523245,0.0462369454778692,0.0262075120640392
A00056116,0.0327383917520139,0.0437993992767939,0.0290505761016841,0.0187514318551932
A00056166,0.0377217187770047,0.0598828520956687,0.0331222960190348,0.0218909223512651
A00056257,0.0622077201895042,0.0748951772846729,0.0577010372604401,0.0346028193989871
A00056428,0.0258709663624059,0.0321963497516855,0.0236750698709516,0.0143198452922326
A00056693,0.0349366617397495,0.0439203912937028,0.0316886972673079,0.0195987873668898
A00056716,0.0616354367170054,0.064707825928423,0.0597406955402839,0.0327982573134168
A00056723,0.119060991301499,0.147415394436429,0.105184471766354,0.0716047173091171
A00056733,0.102700193397123,0.11218433809289,0.0979768897814532,0.0567138757531472
A00056762,0.15070442108511,0.159249882942172,0.144786607791341,0.0847609527416008
A00056913,0.0261812206831874,0.0329002021556498,0.023568214725565,0.0147345615373121
A00057599,0.0410149909644654,0.0530445356740731,0.0373987323076916,0.0229581160127743
A00057630,0.029254249214463,0.0363067091522014,0.0267537216728821,0.016230058755945
A00058596,0.0285778372644429,0.0350081674682599,0.0261770179767313,0.0158246771169662
A00059063,0.0379200613897771,0.0408120774559278,0.0364527470908193,0.0201010898807222
A00059578,0.041804132159714,0.0495284560899506,0.0391830348967918,0.0227716628991247
A00059904,0.0234986163972968,0.029847940977267,0.0214276912570731,0.0130371304349197
