Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14
PED_01,0.525328806483486,24.8647185876748,0.027905438020658,0.0331019040759162,0.0249563066050328,0.0158143089455893,0.0593156471927494,0.0332887791399865,0.0315310868022223,0.0367067431490414,0.0284438542513133,0.0177464911710572,0.0713337778004161,0.0313519185563269
PED_02,0.514510964948819,36.8465782311191,0.0496106308672548,0.0555416137027786,0.0459455867055747,0.0274403739852151,0.0460390038727399,0.105078867805932,0.0423686806287391,0.0474568996337966,0.0394807515226364,0.0232090406918249,0.0514711484746987,0.0543204275625134
PED_03,0.507395130892495,32.1666000600532,0.0435023519822397,0.0519096913829414,0.0392387563701889,0.0246312342706308,0.0770844037412345,0.0727837682801289,0.0391139524757739,0.0456981624507456,0.0359056710506239,0.0217383192824869,0.0608196269479596,0.0742448886309842
PED_04,0.491636028188189,28.8097705445456,0.0398921024936581,0.0477801946167122,0.035602095237064,0.0228151392014593,0.0832626131823067,0.0747839225770831,0.0389174864331112,0.048922450244138,0.0343959370235173,0.0224377268838714,0.0814183164193764,0.0825600000713078
PED_05,0.510211511944848,105.293516774077,0.131336334620604,0.132334064330775,0.128659146745892,0.071566405828218,0.0077771710316707,0.229414817781475,0.136067820454759,0.142298341176194,0.130957099636995,0.0757300877810691,0.0259611576450221,0.367181413820182
PED_06,0.520042700602588,19.5454206455852,0.0226497530891661,0.0299285343042318,0.0188069854683815,0.0138137518681825,0.132096995472974,0.0283865100844359,0.0250720470699906,0.0313783507098725,0.0216491257474844,0.0146957279985355,0.0705603129031108,0.0241042592281809
PED_07,0.51293759763923,35.9742441480149,0.0472722055358923,0.0568874344948196,0.0416145880383082,0.027475721269546,0.0624667874501091,0.0882343261624642,0.0430968932011433,0.054496361342587,0.0369497302925538,0.0256666907362188,0.0738910459683188,0.0856357802115627
PED_08,0.500216969907772,16.8162600659164,0.0241558165088798,0.0297731442209667,0.0210696360369663,0.0140101935187671,0.0797875394496693,0.0194440364010095,0.0202930509692082,0.0289792420350841,0.0170612842099362,0.0121877378779861,0.0867916503739699,0.0337493749189701
PED_09,0.482854371325562,17.3557425730035,0.0262070040887468,0.0340029491345384,0.0221828579480896,0.0156786894992025,0.0678990377044905,0.0418833649790538,0.0229684173561024,0.02928064000134,0.0194843619541541,0.0136893298541259,0.0806993634926611,0.0177846174942803
PED_10,0.499075418641725,24.7940700592294,0.0304519248958811,0.0355464365242191,0.0278618883543775,0.0168893376665229,0.0736622867527967,0.0233212696341823,0.035383885884729,0.041308695441675,0.0322281280125178,0.0197614590105132,0.0543997585442932,0.0457636851351213
PED_11,0.514447931212089,18.9197404723172,0.0230364727150711,0.0295120201330357,0.0193956232253219,0.0138340349793173,0.0733301153540069,0.0289974116776016,0.0242043833165147,0.0307361311276711,0.0208879743325644,0.0141892595262936,0.0778489886046484,0.0289851787201091
PED_12,0.524667466317612,22.2720663170214,0.0271563015207319,0.0346239874109841,0.023447665157834,0.0159343925116744,0.0949844089789595,0.0403227618657852,0.0262241344205123,0.0314910315608004,0.0231159225806023,0.0150762392209237,0.0707187904716501,0.0366526686003573
PED_13,0.500446786792018,22.2333238745314,0.0317534142705903,0.0400457056536667,0.0275665314755231,0.0185724445531551,0.0509922031263495,0.0654262221758517,0.0269598797148191,0.0328004648325051,0.0239799392900943,0.0153546534397087,0.0804968561642326,0.0163111042417446
PED_14,0.511362511805185,38.3309475525774,0.0544582002421762,0.0667834273097442,0.047821626418273,0.0318440075504135,0.081296627075183,0.128126986880602,0.0424399868675233,0.0514508222239773,0.0378707820684547,0.0242769980896636,0.066289309202225,0.0889788437322101
PED_15,0.515531345585349,36.4304130829635,0.0523637745677253,0.0652821241424175,0.0462342424879264,0.030421000004296,0.0426677728948251,0.229593741720542,0.0382059198223768,0.044566559930519,0.0347390680688814,0.0213910464136314,0.0489415906406823,0.0569406274619546
PED_16,0.511491521438275,22.1994683148423,0.0247771123491786,0.030125047216027,0.021864341170922,0.0141995420102784,0.0800151136707162,0.0158347529343813,0.0313127584715947,0.0398345092430299,0.0272116872789144,0.0182921109615987,0.0755367943087422,0.0480130850281459
PED_17,0.502630630254665,23.3764894357585,0.0327453500745111,0.0413325698371626,0.0286523470205787,0.0190116755275809,0.0855450596620036,0.0509827876689269,0.0284498806762826,0.0353100501720125,0.024675454912033,0.016630325325408,0.073130897792747,0.026384535170001
PED_18,0.503343463624839,22.119773726044,0.0309330202039027,0.0410842706389955,0.0253181343067222,0.0191826617061629,0.0583218717691009,0.110887223954853,0.0268074880549386,0.0356957545156878,0.0220084961234418,0.0165402375929455,0.0755214501320676,0.0585294022619347
PED_19,0.503761720360542,26.5154280321131,0.0327140017175856,0.0383243871442416,0.0300084025278391,0.018130848297211,0.0621158807270054,0.0326467576576197,0.0363850267928735,0.041816442218793,0.0335546002819559,0.0200793516012134,0.0528793346312331,0.0384850042272422
PED_20,0.518427716749656,17.0450532832366,0.0192146589764412,0.0226751088546471,0.0173529779222244,0.0107344711074621,0.0476203477084643,0.00966825925851573,0.0226723967379466,0.0268936659024361,0.0203892425183644,0.0127449264769792,0.0589081353176011,0.0145174967891615
PED_21,0.515423787854864,26.8959522241114,0.0295342504116761,0.0364266676335743,0.0255924142112115,0.0172877845885,0.081465755471505,0.0278546551714137,0.0373606108507101,0.0454721196442959,0.032845828056405,0.021637747806302,0.0750209818543874,0.060161575566722
PED_22,0.509704247085123,18.7357009556934,0.023274789524949,0.0309144237319766,0.0197418342580055,0.0138757073964214,0.0812742156598241,0.033665719485975,0.024403210005256,0.0315950705741751,0.0208593172589304,0.0144679786844086,0.0799423536424259,0.0382765237163938
PED_23,0.487872405955233,16.5613291507175,0.0254698267213807,0.0333929023049102,0.0214640783442387,0.0152994540714912,0.0720673809820142,0.040378898519457,0.0205214335563389,0.0254278678391677,0.0180297391643272,0.0118047901258774,0.0738119588553063,0.0154148930330491
PED_24,0.530840331227791,26.1079633490453,0.0307684991081035,0.037112114177059,0.0276162086465699,0.0173984081852927,0.046164264382773,0.0450871582036699,0.0302747939331153,0.0335949673322372,0.0280483421201758,0.0165846209142601,0.0579320740647146,0.0234847760542051
PED_25,0.521122991561723,23.523019322265,0.0300562115648869,0.039840428597545,0.0257342544652608,0.0178101044934606,0.0666769531195217,0.0630870938835416,0.0271291692543998,0.0342860867987207,0.0234087824952067,0.0159287713238267,0.0857907583034858,0.0368799551164225
